method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k4_h1,1,4.0,1.0,4.0,0.591018988721188,0,0.22547225316214603,4.0,1.0,4.0,480,120,0.007134232670068741,0.41614606194531206,0.22949798270848165,0.6908756388665143,0.45801962312931943,0.41534829195896555,nan
fixed_k4_h1,2,4.0,1.0,4.0,0.8468683152035125,1,0.08060032102153572,4.0,1.0,4.0,480,120,0.007070716470479965,0.46155103617615056,0.25669562552733827,0.7626051173936986,0.47224194973969486,0.41981806281324646,0.8698952310902113
fixed_k4_h1,3,4.0,1.0,4.0,0.9963510131001061,1,0.0018776016199119794,4.0,1.0,4.0,480,120,0.007148347795009613,0.40851702959914166,0.21221479097377602,0.6405843116336778,0.48433862008866996,0.5006464865703012,0.8487861219890005
fixed_k4_h1,4,4.0,1.0,4.0,0.8479247215018296,1,0.08003070510369842,4.0,1.0,4.0,480,120,0.0076147690415382385,0.46495396858131116,0.28073554146914964,0.8609611086843483,0.5426697979654206,0.43131771596258855,0.9311316330634563
fixed_k4_h1,5,4.0,1.0,4.0,0.7670118659767365,1,0.12427164773877894,4.0,1.0,4.0,480,120,0.007064702920615673,0.3673045710432727,0.1781595640612284,0.5281955217677357,0.43345524875222124,0.46196184797312123,0.8134838990451267
fixed_k4_h1,6,4.0,1.0,4.0,0.5078577155642471,0,0.2762399008954044,4.0,1.0,4.0,480,120,0.007007848471403122,0.41430935120489254,0.21312755383334375,0.6261635425688677,0.4499855927988099,0.3323869466744908,nan
fixed_k4_h1,7,4.0,1.0,4.0,0.9954426919369609,1,0.0023452873103549936,4.0,1.0,4.0,480,120,0.007393429987132549,0.3915981937250303,0.19273676246164861,0.5964993496237101,0.44193057752599263,0.46445003520737205,0.8790387981357071
fixed_k4_h1,8,4.0,1.0,4.0,0.9733128131845523,1,0.013777772021660004,4.0,1.0,4.0,480,120,0.0070899613201618195,0.4247124514241473,0.23407257292859432,0.7574170128883632,0.5702987132816759,0.5231242164082529,0.9334505204568435
fixed_k4_h1,9,4.0,1.0,4.0,0.9492236776117686,1,0.02630720436275487,4.0,1.0,4.0,480,120,0.007050919346511364,0.38892505348686846,0.19174186115350697,0.576596556059162,0.4348745328200685,0.5541193196556541,0.8945164840894092
fixed_k4_h1,10,4.0,1.0,4.0,0.8770603745366207,1,0.06439950158733451,4.0,1.0,4.0,480,120,0.007025463506579399,0.4189304671084181,0.2239198331488082,0.6591579188557719,0.494124981449344,0.5819519314887,0.8693832393704519
fixed_k4_h1,11,4.0,1.0,4.0,0.8171946944955696,1,0.09668456551294953,4.0,1.0,4.0,480,120,0.006977570243179798,0.4496778632377862,0.25455821214838603,0.7689090200645139,0.5078407939394168,0.5117976291177013,0.8337683211236239
fixed_k4_h1,12,4.0,1.0,4.0,0.9703338070631582,1,0.015322394679585708,4.0,1.0,4.0,480,120,0.007225928828120232,0.4362836336238112,0.24468658201423918,0.7279449060905492,0.5401838797645154,0.5353148722852179,0.8868732494892055
fixed_k4_h1,13,4.0,1.0,4.0,0.8148300706111812,1,0.09797339685505509,4.0,1.0,4.0,480,120,0.007025795988738537,0.3868241502348834,0.19462428086901307,0.5572185215625765,0.4761366261034616,0.49309102056647397,0.8454921214726477
fixed_k4_h1,14,4.0,1.0,4.0,0.6110219930398604,0,0.2135740454851997,4.0,1.0,4.0,480,120,0.006970394402742386,0.4256837743656719,0.22876480204876215,0.6669198786880894,0.4383950178764949,0.3664330131270315,nan
fixed_k4_h1,15,4.0,1.0,4.0,0.3806645038823267,0,0.3588231450489329,4.0,1.0,4.0,480,120,0.006929453462362289,0.38044593587038583,0.1831110247410931,0.5413797780522434,0.446841991665496,0.33365102116798984,nan
fixed_k4_h1,16,4.0,1.0,4.0,0.46128206719701326,0,0.3057060237504195,4.0,1.0,4.0,480,120,0.006958953104913235,0.35489276843086276,0.16270307864078423,0.443069176096673,0.5033129458765014,0.40548027664529773,nan
fixed_k4_h1,17,4.0,1.0,4.0,0.5416689215930522,0,0.25533234984976483,4.0,1.0,4.0,480,120,0.007005661725997925,0.40929659879224906,0.20894934775644583,0.6465681836157334,0.3591007364108783,0.3306632264482292,nan
fixed_k4_h1,18,4.0,1.0,4.0,0.8964304518445786,1,0.054089622492397495,4.0,1.0,4.0,480,120,0.007176024839282036,0.36996014738268723,0.1840240588874562,0.5081817558520499,0.44423804603180356,0.4691019835496297,0.8839538809870872
fixed_k4_h1,19,4.0,1.0,4.0,0.9219187491540314,1,0.04061968536545747,4.0,1.0,4.0,480,120,0.007111218757927418,0.4090229965902534,0.20776731164588644,0.6312899554448246,0.49165422946636167,0.45455625076728984,0.852147923542798
fixed_k4_h2,0,4.0,2.0,2.0,0.7218411507596351,1,0.14954764181152633,4.0,2.0,2.0,240,60,0.0064602987840771675,0.41160010315178036,0.12069378141089558,0.2638959407806744,0.3739228904116346,0.44116441073329926,0.7789866346229926
fixed_k4_h2,1,4.0,2.0,2.0,0.854289116049114,1,0.07660329190915063,4.0,2.0,2.0,240,60,0.006520494818687439,0.3531997831948455,0.09418882199432686,0.20459648783319756,0.5284582668995864,0.4357379536904473,0.9148451770023786
fixed_k4_h2,2,4.0,2.0,2.0,0.8588143109952742,1,0.07417077873953047,4.0,2.0,2.0,240,60,0.007255646400153637,0.4189660414257336,0.13880625941154173,0.3317630829305901,0.4849632464217291,0.44643468608796555,0.9543672104406132
fixed_k4_h2,3,4.0,2.0,2.0,0.920028224544172,1,0.04161509520696641,4.0,2.0,2.0,240,60,0.006633230485022068,0.3477378218708677,0.09852443420440517,0.22769004281466138,0.536343950590372,0.49847928524396373,0.9333104268733391
fixed_k4_h2,4,4.0,2.0,2.0,0.8312450174502026,1,0.08904831103438832,4.0,2.0,2.0,240,60,0.00722617469727993,0.4469648734466358,0.1427885976861267,0.340087698852601,0.4162129602740295,0.4357512605044469,0.928807525077551
fixed_k4_h2,5,4.0,2.0,2.0,0.9362381292192303,1,0.03309898740870961,4.0,2.0,2.0,240,60,0.006456319242715836,0.4013040644973914,0.11762978809305881,0.2524408052355731,0.5655935358147139,0.48038684192560915,0.9346531874277562
fixed_k4_h2,6,4.0,2.0,2.0,0.3630820469678624,0,0.3708193307503218,4.0,2.0,2.0,240,60,0.006280616857111454,0.3962744575271466,0.10640031236011652,0.23871412248809448,0.4549450546414175,0.2901868933860702,nan
fixed_k4_h2,7,4.0,2.0,2.0,0.8215446277281174,1,0.0943164260576547,4.0,2.0,2.0,240,60,0.006368942558765411,0.35254763876603784,0.08871726670840437,0.20206119500096473,0.5381937790682014,0.5516536792124079,0.8294129359665798
fixed_k4_h2,8,4.0,2.0,2.0,0.6922542227322114,0,0.16634846778213344,4.0,2.0,2.0,240,60,0.006814384832978249,0.3801140875155244,0.12584772999487698,0.2937692938582003,0.4111739767153942,0.48611938442393593,0.8934892033628983
